Nest,BirdID,Sex,Treatment,TimeBowl,TimeFeed,StatusBowl,StatusFeed,Trial,Trial_withR1,Object_noobject,TrialOrder,Round,Average_Neophobia,R2_Minus_R1
1.2,4041,M,0,191.159,900,1,0,1,1,1,5,1,455.10475,-356.89475
1.2,4041,M,0,12.086,19.368,1,1,2,2,1,1,1,455.10475,-356.89475
1.2,4041,M,0,3.831,900,1,0,3,3,1,4,1,455.10475,-356.89475
1.2,4041,M,0,0,1.051,1,1,4,4,1,3,1,455.10475,-356.89475
1.2,4041,M,0,0,0,1,1,1,7,1,2,2,98.21,-356.89475
1.2,4041,M,0,0,0,1,1,2,8,1,6,2,98.21,-356.89475
1.2,4041,M,0,201.195,387.165,1,1,3,9,1,3,2,98.21,-356.89475
1.2,4041,M,0,4.31,5.675,1,1,4,10,1,1,2,98.21,-356.89475
1.2,4042,M,0,900,900,0,0,1,1,1,6,1,242.9805,213.767
1.2,4042,M,0,6.625,11.45,1,1,2,2,1,4,1,242.9805,213.767
1.2,4042,M,0,2.92,6.45,1,1,3,3,1,3,1,242.9805,213.767
1.2,4042,M,0,40.219,54.022,1,1,4,4,1,1,1,242.9805,213.767
1.2,4042,M,0,0,19.86,1,1,1,7,1,2,2,456.7475,213.767
1.2,4042,M,0,93.71,900,1,0,2,8,1,5,2,456.7475,213.767
1.2,4042,M,0,658.98,900,1,0,3,9,1,6,2,456.7475,213.767
1.2,4042,M,0,4.84,7.13,1,1,4,10,1,1,2,456.7475,213.767
1.2,4043,M,0,900,900,0,0,1,1,1,6,1,680.32375,-614.99875
1.2,4043,M,0,13.425,21.295,1,1,2,2,1,2,1,680.32375,-614.99875
1.2,4043,M,0,900,900,0,0,3,3,1,3,1,680.32375,-614.99875
1.2,4043,M,0,577.421,900,1,0,4,4,1,5,1,680.32375,-614.99875
1.2,4043,M,0,0,65.325,1,1,4,10,1,2,2,65.325,-614.99875
2.3,4054,F,1,900,900,0,0,1,1,1,3,1,900,
2.3,4054,F,1,169.825,900,1,0,2,2,1,2,1,900,
2.3,4054,F,1,0,900,1,0,3,3,1,1,1,900,
2.3,4054,F,1,324.725,900,1,0,4,4,1,5,1,900,
2.3,4056,F,1,330.025,900,1,0,1,1,1,2,1,900,-496.2925
2.3,4056,F,1,900,900,0,0,3,3,1,1,1,900,-496.2925
2.3,4056,F,1,9.85,35.95,1,1,1,7,1,5,2,403.7075,-496.2925
2.3,4056,F,1,21.68,24.64,1,1,2,8,1,4,2,403.7075,-496.2925
2.3,4056,F,1,900,900,0,0,3,9,1,3,2,403.7075,-496.2925
2.3,4056,F,1,222.01,654.24,1,1,4,10,1,6,2,403.7075,-496.2925
2.3,4057,M,1,900,900,0,0,1,1,1,1,1,900,-601.5575
2.3,4057,M,1,813.29,900,1,0,2,2,1,5,1,900,-601.5575
2.3,4057,M,1,423.335,900,1,0,3,3,1,2,1,900,-601.5575
2.3,4057,M,1,239.855,900,1,0,4,4,1,6,1,900,-601.5575
2.3,4057,M,1,2.93,10.04,1,1,1,7,1,2,2,298.4425,-601.5575
2.3,4057,M,1,241.22,242.1,1,1,2,8,1,4,2,298.4425,-601.5575
2.3,4057,M,1,39.54,41.63,1,1,3,9,1,3,2,298.4425,-601.5575
2.3,4057,M,1,900,900,0,0,4,10,1,5,2,298.4425,-601.5575
2.3,4058,F,1,202.445,900,1,0,1,1,1,3,1,502.46125,-318.90125
2.3,4058,F,1,110.251,900,1,0,2,2,1,6,1,502.46125,-318.90125
2.3,4058,F,1,106.785,110.785,1,1,3,3,1,5,1,502.46125,-318.90125
2.3,4058,F,1,88.845,99.06,1,1,4,4,1,2,1,502.46125,-318.90125
2.3,4058,F,1,17.02,19.92,1,1,1,7,1,4,2,183.56,-318.90125
2.3,4058,F,1,0.42,1.69,1,1,2,8,1,5,2,183.56,-318.90125
2.3,4058,F,1,519.7,671,1,1,3,9,1,2,2,183.56,-318.90125
2.3,4058,F,1,39.54,41.63,1,1,4,10,1,3,2,183.56,-318.90125
3,4051,F,1,900,900,0,0,1,1,1,4,1,867.242,-370.4995
3,4051,F,1,326.38,768.968,1,1,2,2,1,3,1,867.242,-370.4995
3,4051,F,1,900,900,0,0,3,3,1,6,1,867.242,-370.4995
3,4051,F,1,522.07,900,1,0,4,4,1,5,1,867.242,-370.4995
3,4051,F,1,5.13,900,1,0,1,7,1,6,2,496.7425,-370.4995
3,4051,F,1,131.84,154.5,1,1,2,8,1,3,2,496.7425,-370.4995
3,4051,F,1,900,900,0,0,3,9,1,4,2,496.7425,-370.4995
3,4051,F,1,21.05,32.47,1,1,4,10,1,5,2,496.7425,-370.4995
3,4053,F,1,245.48,900,1,0,1,1,1,4,1,470.4215,-228.5715
3,4053,F,1,63.44,900,1,0,2,2,1,5,1,470.4215,-228.5715
3,4053,F,1,28.431,43.364,1,1,3,3,1,1,1,470.4215,-228.5715
3,4053,F,1,34.33,38.322,1,1,4,4,1,3,1,470.4215,-228.5715
3,4053,F,1,16.39,20.85,1,1,1,7,1,5,2,241.85,-228.5715
3,4053,F,1,0.92,2.22,1,1,2,8,1,6,2,241.85,-228.5715
3,4053,F,1,164.97,900,1,0,3,9,1,4,2,241.85,-228.5715
3,4053,F,1,42.56,44.33,1,1,4,10,1,3,2,241.85,-228.5715
3,4055,M,1,210.94,900,1,0,1,1,1,3,1,485.36075,-257.21075
3,4055,M,1,51.295,52.15,1,1,2,2,1,2,1,485.36075,-257.21075
3,4055,M,1,475.955,900,1,0,3,3,1,5,1,485.36075,-257.21075
3,4055,M,1,85.065,89.293,1,1,4,4,1,1,1,485.36075,-257.21075
3,4055,M,1,6.18,7.81,1,1,1,7,1,4,2,228.15,-257.21075
3,4055,M,1,0.43,4.79,1,1,2,8,1,5,2,228.15,-257.21075
3,4055,M,1,900,900,0,0,3,9,1,6,2,228.15,-257.21075
3,4055,M,1,0,0,1,1,4,10,1,2,2,228.15,-257.21075
4,4018,F,0,900,900,0,0,1,1,1,1,1,855.0416667,
4,4018,F,0,763.161,765.125,1,1,2,2,1,2,1,855.0416667,
4,4018,F,0,900,900,0,0,4,4,1,5,1,855.0416667,
4,4019,M,0,537.576,900,1,0,1,1,1,6,1,713.7475,
4,4019,M,0,138.66,154.99,1,1,2,2,1,5,1,713.7475,
4,4019,M,0,900,900,0,0,3,3,1,1,1,713.7475,
4,4019,M,0,208.06,900,1,0,4,4,1,4,1,713.7475,
4,4020,M,0,14.565,900,1,0,1,1,1,1,1,684.56375,
4,4020,M,0,19.245,38.255,1,1,2,2,1,4,1,684.56375,
4,4020,M,0,900,900,0,0,3,3,1,6,1,684.56375,
4,4020,M,0,900,900,0,0,4,4,1,5,1,684.56375,
4,4021,F,0,868.245,900,1,0,1,1,1,4,1,729.49125,
4,4021,F,0,50.374,217.965,1,1,2,2,1,6,1,729.49125,
4,4021,F,0,900,900,0,0,3,3,1,3,1,729.49125,
4,4021,F,0,900,900,0,0,4,4,1,2,1,729.49125,
5,3931,F,0,47.3,306.96,1,1,1,1,1,3,1,137.7155,
5,3931,F,0,12.799,18.249,1,1,2,2,1,2,1,137.7155,
5,3931,F,0,69.901,75.378,1,1,3,3,1,6,1,137.7155,
5,3931,F,0,135.399,150.275,1,1,4,4,1,1,1,137.7155,
5,3932,M,0,900,900,0,0,1,1,1,5,1,715.08625,
5,3932,M,0,142.075,160.345,1,1,2,2,1,4,1,715.08625,
5,3932,M,0,900,900,0,0,3,3,1,2,1,715.08625,
5,3932,M,0,900,900,0,0,4,4,1,1,1,715.08625,
5,3933,F,0,297.154,900,1,0,1,1,1,6,1,677.171,
5,3933,F,0,6.15,8.684,1,1,2,2,1,2,1,677.171,
5,3933,F,0,900,900,0,0,3,3,1,4,1,677.171,
5,3933,F,0,900,900,0,0,4,4,1,5,1,677.171,
5,3934,M,0,469.8,900,1,0,1,1,1,6,1,900,
5,3934,M,0,900,900,0,0,2,2,1,3,1,900,
5,3934,M,0,900,900,0,0,3,3,1,2,1,900,
5,3934,M,0,197.449,900,1,0,4,4,1,4,1,900,
6,3935,F,1,579.582,900,1,0,1,1,1,3,1,737.79525,
6,3935,F,1,7.776,251.181,1,1,2,2,1,1,1,737.79525,
6,3935,F,1,882.96,900,1,0,3,3,1,2,1,737.79525,
6,3935,F,1,115.735,900,1,0,4,4,1,4,1,737.79525,
6,3936,M,1,900,900,0,0,1,1,1,1,1,621.9685,
6,3936,M,1,17.215,21.808,1,1,2,2,1,5,1,621.9685,
6,3936,M,1,900,900,0,0,3,3,1,3,1,621.9685,
6,3936,M,1,218.465,666.066,1,1,4,4,1,4,1,621.9685,
6,3937,M,1,900,900,0,0,1,1,1,3,1,574.55325,
6,3937,M,1,51.855,488.695,1,1,2,2,1,4,1,574.55325,
6,3937,M,1,93.695,127.574,1,1,3,3,1,5,1,574.55325,
6,3937,M,1,775.684,781.944,1,1,4,4,1,2,1,574.55325,
6,3938,M,1,900,900,0,0,1,1,1,2,1,564.3705,
6,3938,M,1,138.005,142.206,1,1,2,2,1,6,1,564.3705,
6,3938,M,1,469.115,900,1,0,3,3,1,4,1,564.3705,
6,3938,M,1,308.456,315.276,1,1,4,4,1,1,1,564.3705,
7.2,4063,F,1,38.625,900,1,0,1,1,1,1,1,464.25225,-218.66225
7.2,4063,F,1,5.225,9.115,1,1,2,2,1,4,1,464.25225,-218.66225
7.2,4063,F,1,0,900,1,1,3,3,1,5,1,464.25225,-218.66225
7.2,4063,F,1,0,47.894,1,1,4,4,1,3,1,464.25225,-218.66225
7.2,4063,F,1,21.52,67.64,1,1,1,7,1,1,2,245.59,-218.66225
7.2,4063,F,1,1.72,2.42,1,1,2,8,1,5,2,245.59,-218.66225
7.2,4063,F,1,900,900,0,0,3,9,1,2,2,245.59,-218.66225
7.2,4063,F,1,10.2,12.3,1,1,4,10,1,3,2,245.59,-218.66225
7.2,4068,F,1,70.114,900,1,0,1,1,1,2,1,256.219,-232.094
7.2,4068,F,1,0,6.361,1,1,2,2,1,4,1,256.219,-232.094
7.2,4068,F,1,74.82,76.735,1,1,3,3,1,6,1,256.219,-232.094
7.2,4068,F,1,23.351,41.78,1,1,4,4,1,5,1,256.219,-232.094
7.2,4068,F,1,2.62,3.35,1,1,1,7,1,6,2,24.125,-232.094
7.2,4068,F,1,0,0.15,1,1,2,8,1,4,2,24.125,-232.094
7.2,4068,F,1,91.17,91.61,1,1,3,9,1,2,2,24.125,-232.094
7.2,4068,F,1,0.49,1.39,1,1,4,10,1,5,2,24.125,-232.094
8.2,4037,M,0,108.715,900,1,0,1,1,1,6,1,380.06925,298.1545
8.2,4037,M,0,5.625,8.946,1,1,2,2,1,1,1,380.06925,298.1545
8.2,4037,M,0,342.085,589.92,1,1,3,3,1,2,1,380.06925,298.1545
8.2,4037,M,0,19.14,21.411,1,1,4,4,1,4,1,380.06925,298.1545
8.2,4038,M,0,695.879,900,1,0,1,1,1,2,1,678.22375,298.1545
8.2,4038,M,0,111.226,900,1,0,2,2,1,6,1,678.22375,298.1545
8.2,4038,M,0,900,900,0,0,3,3,1,3,1,678.22375,298.1545
8.2,4038,M,0,4.7,12.895,1,1,4,4,1,5,1,678.22375,298.1545
9,4048,M,0,98.76,900,1,0,2,2,1,2,1,732.785,-482.11
9,4048,M,0,168.785,565.57,1,1,4,4,1,1,1,732.785,-482.11
9,4048,M,0,6.2,7.35,1,1,1,7,1,6,2,250.675,-482.11
9,4048,M,0,6.72,10.7,1,1,2,8,1,2,2,250.675,-482.11
9,4048,M,0,900,900,0,0,3,9,1,5,2,250.675,-482.11
9,4048,M,0,78.37,84.65,1,1,4,10,1,4,2,250.675,-482.11
9,4049,M,0,203.341,478.585,1,1,1,1,1,6,1,164.565,66.8475
9,4049,M,0,12.009,79.855,1,1,2,2,1,5,1,164.565,66.8475
9,4049,M,0,79.76,91.42,1,1,3,3,1,1,1,164.565,66.8475
9,4049,M,0,6.506,8.4,1,1,4,4,1,3,1,164.565,66.8475
9,4049,M,0,0.4,2.15,1,1,1,7,1,4,2,231.4125,66.8475
9,4049,M,0,8.27,13.78,1,1,2,8,1,2,2,231.4125,66.8475
9,4049,M,0,900,900,0,0,3,9,1,6,2,231.4125,66.8475
9,4049,M,0,7.09,9.72,1,1,4,10,1,1,2,231.4125,66.8475
9,4052,F,0,294.7,586.85,1,1,1,1,1,4,1,349.191,-238.796
9,4052,F,0,8.26,9.325,1,1,2,2,1,6,1,349.191,-238.796
9,4052,F,0,445.405,775.62,1,1,3,3,1,3,1,349.191,-238.796
9,4052,F,0,21.055,24.969,1,1,4,4,1,5,1,349.191,-238.796
9,4052,F,0,0,0.7,1,1,1,7,1,6,2,110.395,-238.796
9,4052,F,0,11.55,15.97,1,1,2,8,1,5,2,110.395,-238.796
9,4052,F,0,394.51,397.12,1,1,3,9,1,3,2,110.395,-238.796
9,4052,F,0,25.73,27.79,1,1,4,10,1,2,2,110.395,-238.796
10,4065,F,1,26.005,41.655,1,1,2,2,1,4,1,685.41375,
10,4065,F,1,900,900,0,0,3,3,1,6,1,685.41375,
10,4065,F,1,900,900,0,0,4,4,1,3,1,685.41375,
10,4065,F,1,900,900,0,0,4,4,1,5,1,685.41375,
10,4066,F,1,900,900,0,0,1,1,1,5,1,683.921,-629.9035
10,4066,F,1,24.425,35.684,1,1,2,2,1,3,1,683.921,-629.9035
10,4066,F,1,900,900,0,0,3,3,1,1,1,683.921,-629.9035
10,4066,F,1,900,900,0,0,4,4,1,2,1,683.921,-629.9035
10,4066,F,1,1.53,4,1,1,1,7,1,3,2,54.0175,-629.9035
10,4066,F,1,0,0,1,1,2,8,1,5,2,54.0175,-629.9035
10,4066,F,1,168.83,172.09,1,1,3,9,1,4,2,54.0175,-629.9035
10,4066,F,1,36.6,39.98,1,1,4,10,1,2,2,54.0175,-629.9035
10,4067,M,1,900,900,0,0,1,1,1,5,1,665.57075,-471.13075
10,4067,M,1,47.8,90.799,1,1,2,2,1,2,1,665.57075,-471.13075
10,4067,M,1,28.851,900,1,0,3,3,1,1,1,665.57075,-471.13075
10,4067,M,1,61.349,771.484,1,1,4,4,1,3,1,665.57075,-471.13075
10,4067,M,1,19.01,36.96,1,1,1,7,1,6,2,194.44,-471.13075
10,4067,M,1,14.21,14.83,1,1,2,8,1,1,2,194.44,-471.13075
10,4067,M,1,103.1,723.32,1,1,3,9,1,2,2,194.44,-471.13075
10,4067,M,1,1.67,2.65,1,1,4,10,1,3,2,194.44,-471.13075
11,4074,F,1,87.625,900,1,0,1,1,1,3,1,650.64275,-168.73525
11,4074,F,1,88.509,794.174,1,1,2,2,1,4,1,650.64275,-168.73525
11,4074,F,1,177.711,627.672,1,1,3,3,1,1,1,650.64275,-168.73525
11,4074,F,1,279.94,280.725,1,1,4,4,1,5,1,650.64275,-168.73525
11,4074,F,1,40.29,478.77,1,1,1,7,1,5,2,481.9075,-168.73525
11,4074,F,1,87.8,146.17,1,1,2,8,1,6,2,481.9075,-168.73525
11,4074,F,1,661.36,900,1,0,3,9,1,2,2,481.9075,-168.73525
11,4074,F,1,399.9,402.69,1,1,4,10,1,3,2,481.9075,-168.73525
11,4075,M,1,900,900,0,0,1,1,1,5,1,514.58725,-2.45225
11,4075,M,1,102.481,195.945,1,1,2,2,1,1,1,514.58725,-2.45225
11,4075,M,1,900,900,0,0,3,3,1,2,1,514.58725,-2.45225
11,4075,M,1,52.77,62.404,1,1,4,4,1,4,1,514.58725,-2.45225
11,4075,M,1,200.62,203.92,1,1,1,7,1,5,2,512.135,-2.45225
11,4075,M,1,40.94,900,1,0,2,8,1,6,2,512.135,-2.45225
11,4075,M,1,900,900,0,0,3,9,1,1,2,512.135,-2.45225
11,4075,M,1,40.5,44.62,1,1,4,10,1,3,2,512.135,-2.45225
11,4076,M,1,101.72,900,1,0,2,2,1,4,1,900,-711.0125
11,4076,M,1,900,900,0,0,3,3,1,6,1,900,-711.0125
11,4076,M,1,871.325,900,1,0,4,4,1,2,1,900,-711.0125
11,4076,M,1,231.12,235.37,1,1,1,7,1,6,2,188.9875,-711.0125
11,4076,M,1,301.2,303.17,1,1,2,8,1,5,2,188.9875,-711.0125
11,4076,M,1,201.12,204.1,1,1,3,9,1,4,2,188.9875,-711.0125
11,4076,M,1,8.44,13.31,1,1,4,10,1,2,2,188.9875,-711.0125
12,4069,F,0,0,61.92,1,1,1,1,1,5,1,306.3225,65.489
12,4069,F,0,0,2.367,1,1,2,2,1,2,1,306.3225,65.489
12,4069,F,0,269.785,828.129,1,1,3,3,1,3,1,306.3225,65.489
12,4069,F,0,274.349,332.874,1,1,4,4,1,6,1,306.3225,65.489
12,4069,F,0,109.44,232.37,1,1,1,7,1,2,2,371.8115,65.489
12,4069,F,0,18.059,54.704,1,1,2,8,1,3,2,371.8115,65.489
12,4069,F,0,861.4,900,1,0,3,9,1,1,2,371.8115,65.489
12,4069,F,0,198.114,300.172,1,1,4,10,1,4,2,371.8115,65.489
12,4070,M,0,194.294,900,1,0,1,1,1,3,1,498.36225,-246.5175
12,4070,M,0,43.811,56.6,1,1,2,2,1,5,1,498.36225,-246.5175
12,4070,M,0,864.371,900,1,0,3,3,1,1,1,498.36225,-246.5175
12,4070,M,0,46.451,136.849,1,1,4,4,1,2,1,498.36225,-246.5175
12,4070,M,0,56.979,62.495,1,1,1,7,1,3,2,251.84475,-246.5175
12,4070,M,0,0.119,2.204,1,1,2,8,1,6,2,251.84475,-246.5175
12,4070,M,0,900,900,0,0,3,9,1,1,2,251.84475,-246.5175
12,4070,M,0,19.354,42.68,1,1,4,10,1,4,2,251.84475,-246.5175
12,4071,F,0,15.332,876.838,1,1,1,1,1,1,1,346.59675,-233.32425
12,4071,F,0,0.624,2.545,1,1,2,2,1,2,1,346.59675,-233.32425
12,4071,F,0,217.454,507.004,1,1,3,3,1,6,1,346.59675,-233.32425
12,4071,F,0,0,0,1,1,4,4,1,4,1,346.59675,-233.32425
12,4071,F,0,0,12.555,1,1,2,8,1,3,2,113.2725,-233.32425
12,4071,F,0,206.08,213.99,1,1,4,10,1,1,2,113.2725,-233.32425
12,4072,F,0,900,900,0,0,1,1,1,6,1,466.67,-374.239
12,4072,F,0,0,38.13,1,1,2,2,1,3,1,466.67,-374.239
12,4072,F,0,900,900,0,0,3,3,1,4,1,466.67,-374.239
12,4072,F,0,22.629,28.55,1,1,4,4,1,1,1,466.67,-374.239
12,4072,F,0,5.68,9.43,1,1,1,7,1,2,2,92.431,-374.239
12,4072,F,0,173.07,175.432,1,1,4,10,1,1,2,92.431,-374.239
12,4073,M,0,900,900,0,0,1,1,1,2,1,900,-527.845
12,4073,M,0,900,900,0,0,2,2,1,4,1,900,-527.845
12,4073,M,0,900,900,0,0,3,3,1,3,1,900,-527.845
12,4073,M,0,427.911,900,1,0,4,4,1,6,1,900,-527.845
12,4073,M,0,50.764,372.155,1,1,2,8,1,1,2,372.155,-527.845
14,4161,M,0,200.866,900,1,0,1,1,1,4,1,688.83,211.17
14,4161,M,0,50.19,55.32,1,1,2,2,1,6,1,688.83,211.17
14,4161,M,0,900,900,0,0,3,3,1,5,1,688.83,211.17
14,4161,M,0,900,900,0,0,4,4,1,1,1,688.83,211.17
14,4161,M,0,119.19,,1,1,2,8,1,2,2,900,211.17
14,4161,M,0,900,900,1,0,3,9,1,1,2,900,211.17
